time,cpu,mem,diskRand,diskSeq
1606915801,1129,6901.60,2.392,48.178
1606917601,1127,6898.49,2.3901,50.531
1606919401,1130,6879.77,2.3906,56.13
1606921201,1130,6904.39,2.3903,51.495
1606923001,1131,6896.26,2.3917,49.565
1606924801,1131,6902.93,2.3907,59.446
1606926601,1125,6887.04,2.3914,51.123
1606928401,1130,6884.18,2.389,56.71
1606930201,1131,6910.20,2.3908,54.271
1606932001,1129,6896.68,2.3904,51.997
1606933801,1131,6907.16,2.3912,59.996
1606935601,1130,6898.41,2.3911,57.74
1606937401,1130,6908.27,2.3911,49.471
1606939201,1129,6903.45,2.3893,52.142
1606941001,1130,6910.74,2.3925,49.991
1606942801,1127,6910.06,2.3923,57.397
1606944601,1132,6889.66,2.3912,53.803
1606946401,1131,6902.25,2.3904,44.86
1606948201,1131,6879.34,2.3908,57.941
1606950001,1131,6911.49,2.3908,59.334
1606951801,1130,6910.36,2.3898,55.582
1606953601,1131,6884.88,2.3925,60.302
1606955401,1132,6907.71,2.3896,55.954
1606957201,1131,6911.28,2.3895,54.943
1606959001,1131,6875.68,2.3893,51.175
1606960801,1128,6907.64,2.3921,59.568
1606962601,1131,6889.22,2.3909,53.738
1606964401,1131,6905.22,2.3912,50.229
1606966201,1131,6909.06,2.3944,54.352
1606968001,1131,6906.04,2.3926,60.914
1606969801,1129,6912.23,2.3901,53.675
1606971601,1132,6890.32,2.3898,54.84
1606973401,1131,6906.84,2.3911,59.792
1606975201,1129,6894.64,2.3917,51.002
1606977001,1130,6908.28,2.3919,61.719
1606978801,1130,6899.12,2.3917,61.508
1606980601,1132,6902.52,2.3912,46.057
1606982401,1130,6910.92,2.392,51.408
1606984201,1131,6906.80,2.3907,60.03
1606986001,1130,6907.09,2.3918,61.889
1606987801,1130,6885.48,2.3924,50.781
1606989601,1129,6893.23,2.3913,51.039
1606991401,1130,6902.09,2.393,64.042
1606993201,1130,6907.24,2.3914,51.392
1606996801,1130,6870.10,2.3918,60.113
1606998601,1129,6905.39,2.3924,46.497
1607000401,1132,6907.39,2.392,52.057
1607002201,1131,6912.76,2.3899,60.899
1607004001,1129,6909.64,2.393,54.869
1607005801,1131,6889.50,2.3901,55.026
1607007601,1132,6916.36,2.3919,61.808
1607009401,1130,6892.77,2.3903,53.889
1607011201,1131,6909.38,2.3899,57.169
1607013001,1129,6908.37,2.39,50.501
1607014801,1132,6889.40,2.3907,58.393
1607016601,1132,6915.25,2.3911,54.521
1607018401,1130,6871.78,2.3926,52.453
1607020201,1131,6914.51,2.3923,51.717
1607022001,1129,6906.20,2.3893,54.892
1607023801,1131,6906.96,2.3885,47.589
1607025601,1131,6910.64,2.3925,55.336
1607027401,1131,6910.80,2.3924,59.682
1607029201,1137,6951.61,2.3929,59.706
1607031001,1131,6888.97,2.3918,53.529
1607032801,1132,6912.91,2.3906,46.601
1607034601,1131,6911.32,2.3905,57.695
1607036401,1131,6910.38,2.3902,52.859
1607038201,1129,6913.80,2.3898,54.021
1607040001,1129,6875.06,2.3898,60.815
1607041801,1137,6917.98,2.3923,50.408
1607043601,1131,6903.91,2.3903,53.921
1607045401,1130,6906.27,2.3915,55.652
1607047201,1130,6912.83,2.3902,67.35
1607049001,1133,6898.65,2.3898,54.233
1607050801,1139,6966.52,2.3897,59.353
1607052601,1134,6911.98,2.3924,65.181
1607054401,1132,6915.56,2.387,57.936
1607056201,1129,6900.74,2.389,69.889
1607058001,1132,6894.72,2.3913,54.848
1607059801,1132,6917.13,2.392,52.719
1607061601,1130,6904.87,2.3916,52.368
1607063401,1131,6903.44,2.3892,69.212
1607065201,1129,6908.43,2.3917,62.59
1607067001,1132,6899.66,2.3912,62.7
1607068801,1132,6910.65,2.392,63.709
1607070601,1131,6909.57,2.3911,64.475
1607072401,1103,6911.94,2.3922,67.891
1607074201,1131,6898.22,2.3913,68.349
1607076001,1132,6915.21,2.3921,56.347
1607077801,1132,6915.69,2.3931,58.52
1607079601,1130,6900.04,2.3894,51.615
1607081401,1129,6901.15,2.3919,58.945
1607083201,1129,6873.85,2.3905,48.201
1607085001,1131,6912.22,2.3929,42.946
1607086801,1132,6899.41,2.3913,57.624
1607088601,1131,6913.68,2.3908,58.908